DIR,SRC,BRANCH,SCM
src/third_party/webpagereplay,https://chromium.googlesource.com/external/github.com/chromium/web-page-replay.git,7564939bdf6482d57b9bd5e9c931679f96d8cf75,GIT
src/third_party/pywebsocket/src,https://chromium.googlesource.com/external/github.com/google/pywebsocket.git,09d842794c14ca064f8a4223b313ac2c84bd33c8,GIT
src/third_party/opus/src,https://chromium.googlesource.com/chromium/deps/opus.git,cae696156f1e60006e39821e79a1811ae1933c69,GIT
src/media/cdm/api,https://chromium.googlesource.com/chromium/cdm.git,a4773c3cec827c3a880e8a2c22e43a287ced0d20,GIT
src/third_party/mesa/src,https://chromium.googlesource.com/chromium/deps/mesa.git,ef811c6bd4de74e13e7035ca882cc77f85793fef,GIT
src/third_party/cld_2/src,https://chromium.googlesource.com/external/github.com/CLD2Owners/cld2.git,84b58a5d7690ebf05a91406f371ce00c3daf31c0,GIT
src/third_party/libwebm/source,https://chromium.googlesource.com/webm/libwebm.git,75a6d2da8b63e0c446ec0ce1ac942c2962d959d7,GIT
src/third_party/pdfium,https://pdfium.googlesource.com/pdfium.git,94edf0c37d1ee6a03697375b9e227071ff2ee69d,GIT
src/third_party/boringssl/src,https://boringssl.googlesource.com/boringssl.git,afd565ff9cb4fe1d20f4aa2ee7339c86998aafae,GIT
src/third_party/py_trace_event/src,https://chromium.googlesource.com/external/py_trace_event.git,dd463ea9e2c430de2b9e53dea57a77b4c3ac9b30,GIT
src/third_party/dom_distiller_js/dist,https://chromium.googlesource.com/external/github.com/chromium/dom-distiller-dist.git,7e5e3db1b6ddecee66fc5f643729fda40976fd39,GIT
src/third_party/catapult,https://chromium.googlesource.com/external/github.com/catapult-project/catapult.git,97d95119247a42aa5590fcdf61a23554ad8899a4,GIT
src/third_party/openh264/src,https://chromium.googlesource.com/external/github.com/cisco/openh264,b37cda248234162033e3e11b0335f3131cdfe488,GIT
src/base,http://src.chromium.org/svn/trunk/src/base,119173,SVN
src/build,http://src.chromium.org/svn/trunk/src/build,119173,SVN
src/third_party/icu,http://src.chromium.org/svn/trunk/deps/third_party/icu42,119173,SVN
